lon,lat,state,county
-96.092,34.63597,OK,Atoka
-96.09211,34.66118,OK,Atoka
-96.0921,34.66686,OK,Atoka
-96.09195,34.6734,OK,Atoka
-96.09204,34.68049,OK,Atoka
-96.09204,34.68056,OK,Atoka
-96.09169,34.68056,OK,Atoka
-96.06918,34.68052,OK,Atoka
-96.04408,34.68049,OK,Atoka
-96.04181,34.68049,OK,Atoka
-96.03941,34.68049,OK,Atoka
-96.02506,34.68044,OK,Atoka
-96.00769,34.68044,OK,Atoka
-95.9715,34.68044,OK,Atoka
-95.94867,34.68051,OK,Atoka
-95.94314,34.68047,OK,Atoka
-95.93501,34.68043,OK,Atoka
-95.92063,34.68034,OK,Atoka
-95.894,34.68044,OK,Atoka
-95.88212,34.67025,OK,Atoka
-95.88191,34.64105,OK,Atoka
-95.88219,34.62661,OK,Atoka
-95.88219,34.61768,OK,Atoka
-95.88201,34.59986,OK,Atoka
-95.87576,34.59354,OK,Atoka
-95.8561,34.5937,OK,Atoka
-95.81522,34.59368,OK,Atoka
-95.79014,34.59377,OK,Atoka
-95.7597,34.59387,OK,Atoka
-95.75027,34.59386,OK,Atoka
-95.70952,34.59405,OK,Atoka
-95.68952,34.59393,OK,Atoka
-95.67198,34.59385,OK,Atoka
-95.67198,34.59368,OK,Atoka
-95.67189,34.57771,OK,Atoka
-95.67186,34.57067,OK,Atoka
-95.67189,34.54355,OK,Atoka
-95.72564,34.50679,OK,Atoka
-95.77901,34.48703,OK,Atoka
-95.77932,34.37938,OK,Atoka
-95.77919,34.34649,OK,Atoka
-95.77918,34.29628,OK,Atoka
-95.77918,34.28768,OK,Atoka
-95.77919,34.27913,OK,Atoka
-95.77922,34.27147,OK,Atoka
-95.77921,34.26444,OK,Atoka
-95.77922,34.24661,OK,Atoka
-95.77919,34.23998,OK,Atoka
-95.77924,34.22905,OK,Atoka
-95.77924,34.22118,OK,Atoka
-95.7792,34.21497,OK,Atoka
-95.7792,34.21195,OK,Atoka
-95.77921,34.20369,OK,Atoka
-95.77921,34.19544,OK,Atoka
-95.77922,34.18864,OK,Atoka
-95.77927,34.17944,OK,Atoka
-95.77922,34.17452,OK,Atoka
-95.77939,34.16766,OK,Atoka
-95.77926,34.16393,OK,Atoka
-95.77938,34.1567,OK,Atoka
-95.7823,34.1567,OK,Atoka
-95.79809,34.15669,OK,Atoka
-95.80224,34.15671,OK,Atoka
-95.80628,34.15664,OK,Atoka
-95.80787,34.15659,OK,Atoka
-95.8125,34.15662,OK,Atoka
-95.81861,34.15663,OK,Atoka
-95.82189,34.15663,OK,Atoka
-95.82292,34.15661,OK,Atoka
-95.82595,34.15657,OK,Atoka
-95.82655,34.15694,OK,Atoka
-95.82807,34.157,OK,Atoka
-95.82962,34.15697,OK,Atoka
-95.8361,34.15679,OK,Atoka
-95.83982,34.15678,OK,Atoka
-95.85826,34.15673,OK,Atoka
-95.87103,34.15669,OK,Atoka
-95.87418,34.1566,OK,Atoka
-95.88432,34.15657,OK,Atoka
-95.90336,34.1566,OK,Atoka
-95.9039,34.1566,OK,Atoka
-95.91835,34.15662,OK,Atoka
-95.9203,34.15663,OK,Atoka
-95.93544,34.15663,OK,Atoka
-95.93758,34.15663,OK,Atoka
-95.97624,34.15674,OK,Atoka
-95.99297,34.15682,OK,Atoka
-95.99853,34.15685,OK,Atoka
-96.03664,34.15737,OK,Atoka
-96.06865,34.15716,OK,Atoka
-96.08442,34.15667,OK,Atoka
-96.08555,34.15683,OK,Atoka
-96.10925,34.15712,OK,Atoka
-96.12897,34.15713,OK,Atoka
-96.14526,34.15688,OK,Atoka
-96.17935,34.15703,OK,Atoka
-96.20792,34.15707,OK,Atoka
-96.22313,34.15716,OK,Atoka
-96.23384,34.15717,OK,Atoka
-96.24831,34.15722,OK,Atoka
-96.25583,34.15735,OK,Atoka
-96.25974,34.15733,OK,Atoka
-96.28391,34.15738,OK,Atoka
-96.28797,34.15729,OK,Atoka
-96.30665,34.15719,OK,Atoka
-96.31233,34.15718,OK,Atoka
-96.33038,34.1572,OK,Atoka
-96.34651,34.1572,OK,Atoka
-96.35703,34.15718,OK,Atoka
-96.36206,34.15719,OK,Atoka
-96.36745,34.15718,OK,Atoka
-96.38735,34.15725,OK,Atoka
-96.40557,34.15731,OK,Atoka
-96.40764,34.15732,OK,Atoka
-96.40768,34.16087,OK,Atoka
-96.40772,34.18354,OK,Atoka
-96.40754,34.20801,OK,Atoka
-96.40738,34.23087,OK,Atoka
-96.40733,34.23657,OK,Atoka
-96.40725,34.24432,OK,Atoka
-96.4073,34.26069,OK,Atoka
-96.40729,34.26259,OK,Atoka
-96.40737,34.26994,OK,Atoka
-96.4072,34.27583,OK,Atoka
-96.40721,34.28391,OK,Atoka
-96.40717,34.28945,OK,Atoka
-96.40718,34.29537,OK,Atoka
-96.40718,34.2996,OK,Atoka
-96.40713,34.30942,OK,Atoka
-96.40714,34.3118,OK,Atoka
-96.40715,34.31709,OK,Atoka
-96.40706,34.34765,OK,Atoka
-96.40703,34.35473,OK,Atoka
-96.40703,34.36399,OK,Atoka
-96.40713,34.37482,OK,Atoka
-96.40703,34.37652,OK,Atoka
-96.40702,34.38482,OK,Atoka
-96.40698,34.3895,OK,Atoka
-96.40695,34.40395,OK,Atoka
-96.40708,34.40917,OK,Atoka
-96.40733,34.41839,OK,Atoka
-96.40691,34.41839,OK,Atoka
-96.37527,34.41839,OK,Atoka
-96.31998,34.41832,OK,Atoka
-96.28724,34.41836,OK,Atoka
-96.26126,34.41839,OK,Atoka
-96.24567,34.41849,OK,Atoka
-96.22432,34.41844,OK,Atoka
-96.20221,34.41844,OK,Atoka
-96.16613,34.41864,OK,Atoka
-96.14511,34.42237,OK,Atoka
-96.14524,34.46463,OK,Atoka
-96.14264,34.50609,OK,Atoka
-96.10428,34.50635,OK,Atoka
-96.09574,34.50619,OK,Atoka
-100.8916,36.99861,OK,Beaver
-100.89102,36.99865,OK,Beaver
-100.87505,36.99864,OK,Beaver
-100.87334,36.99881,OK,Beaver
-100.87248,36.99886,OK,Beaver
-100.86106,36.99867,OK,Beaver
-100.84905,36.99867,OK,Beaver
-100.82278,36.99883,OK,Beaver
-100.77349,36.99916,OK,Beaver
-100.76495,36.99939,OK,Beaver
-100.76272,36.9994,OK,Beaver
-100.75953,36.99943,OK,Beaver
-100.75685,36.99945,OK,Beaver
-100.75019,36.99929,OK,Beaver
-100.72936,36.99913,OK,Beaver
-100.67515,36.99987,OK,Beaver
-100.66898,36.99993,OK,Beaver
-100.6621,36.99998,OK,Beaver
-100.65589,37.00002,OK,Beaver
-100.64062,37.0001,OK,Beaver
-100.63448,37.00011,OK,Beaver
-100.63333,37.0001,OK,Beaver
-100.63237,37.00009,OK,Beaver
-100.62543,37.00002,OK,Beaver
-100.60597,37.00027,OK,Beaver
-100.55572,37.00064,OK,Beaver
-100.55093,37.00062,OK,Beaver
-100.54357,37.00062,OK,Beaver
-100.52037,37.00081,OK,Beaver
-100.50153,37.00097,OK,Beaver
-100.49403,37.00088,OK,Beaver
